Date,District,Ward,Types of houses,House ownership certificate,Number of floors,Number of bedrooms,Total rooms,Area (m2),Length (m),Width (m),Price (million)/ m2,Total price (million)
07/29/2020,11,Tan Mai,1,Yes,5,6,11,38.0,10.92,3.48,89.47,3399.86
07/29/2020,11,Tan Mai,2,Yes,5,6,12,52.0,10.4,5.0,109.62,5700.24
07/29/2020,9,Thanh Luong,1,Yes,4,4,8,39.0,11.14,3.5,73.08,2850.12
07/29/2020,15,Thanh Xuan Trung,1,Yes,4,3,7,38.0,10.89,3.49,140.79,5350.02
07/29/2020,7,Thinh Quang,1,Yes,5,4,8,32.0,9.14,3.5,92.19,2950.08
07/29/2020,7,Thinh Quang,1,Yes,4,4,8,45.0,9.0,5.0,95.56,4300.2
07/29/2020,14,Thuy Khue,1,Yes,5,5,10,50.0,10.0,5.0,124.0,6200.0
07/29/2020,14,Thuy Khue,1,No,5,4,8,55.0,11.0,5.0,161.82,8900.1
07/29/2020,14,Thuy Khue,2,Yes,2,4,7,68.0,10.46,6.5,485.29,32999.72
07/29/2020,6,Trung Hoa,1,Yes,5,5,10,55.0,11.0,5.0,113.64,6250.2
07/29/2020,7,Trung Phung,1,Yes,4,3,7,36.0,10.29,3.5,83.33,2999.88
07/29/2020,7,Trung Phung,2,Yes,4,5,10,50.0,10.68,4.68,166.0,8300.0
07/29/2020,7,Trung Tu,2,Yes,5,4,10,40.0,10.81,3.7,85.0,3400.0
07/29/2020,13,Trung Van,1,Yes,4,3,7,30.0,10.0,3.0,93.33,2799.9
07/29/2020,9,Truong Dinh,1,Yes,4,4,8,41.0,8.01,5.12,73.17,2999.97
07/29/2020,11,Tuong Mai,1,Yes,2,2,6,30.0,7.69,3.9,27.67,830.1
07/29/2020,7,Van Chuong,1,Yes,2,2,6,30.0,10.0,3.0,73.33,2199.9
07/29/2020,8,Van Phuc,1,No,5,4,8,35.0,10.0,3.5,63.14,2209.9
07/29/2020,8,Van Phuc,1,Yes,4,4,8,35.0,10.0,3.5,71.43,2500.05
07/29/2020,8,Van Phuc,1,Yes,5,4,8,36.0,10.29,3.5,66.67,2400.12
